id_user_hash,user_hospital,user_specialty,user_subspecialty,user_education_level,user_gender,user_age_range,is_user_working,user_created_at,id_exam,exam_created_at,id_case,id_question,user_answer,is_user_answer_correct,country_user_made_the_exam,city_user_made_the_exam
22b1b07feac324263900f85b92faa583e15046acefb21807ea5e7fd5ecdc97d3,"Centro Médico, ABC Observatorio",Cardiología Clínica,Cardiología Intervencionista En Cardiopatías Congénitas,Residente de especialidad R2,Hombre,23-27,Sí,2023-10-25 16:03:31,430053403263,2024-11-07 16:49:28,358933197576,833315648609,Canagliflozina,CORRECTA,MX,Mexico City
22b1b07feac324263900f85b92faa583e15046acefb21807ea5e7fd5ecdc97d3,"Centro Médico, ABC Observatorio",Cardiología Clínica,Cardiología Intervencionista En Cardiopatías Congénitas,Residente de especialidad R2,Hombre,23-27,Sí,2023-10-25 16:03:31,430053403263,2024-11-07 16:49:28,533106738250,778258403042,Disminución de la tasa de filtrado glomerular,INCORRECTA,MX,Mexico City
22b1b07feac324263900f85b92faa583e15046acefb21807ea5e7fd5ecdc97d3,"Centro Médico, ABC Observatorio",Cardiología Clínica,Cardiología Intervencionista En Cardiopatías Congénitas,Residente de especialidad R2,Hombre,23-27,Sí,2023-10-25 16:03:31,430053403263,2024-11-07 16:49:28,274993632305,508538415750,Cetoacidosis euglucémica,INCORRECTA,MX,Mexico City
22b1b07feac324263900f85b92faa583e15046acefb21807ea5e7fd5ecdc97d3,"Centro Médico, ABC Observatorio",Cardiología Clínica,Cardiología Intervencionista En Cardiopatías Congénitas,Residente de especialidad R2,Hombre,23-27,Sí,2023-10-25 16:03:31,430053403263,2024-11-07 16:49:28,229680574694,469471238858,Suspender glimepirida,INCORRECTA,MX,Mexico City
22b1b07feac324263900f85b92faa583e15046acefb21807ea5e7fd5ecdc97d3,"Centro Médico, ABC Observatorio",Cardiología Clínica,Cardiología Intervencionista En Cardiopatías Congénitas,Residente de especialidad R2,Hombre,23-27,Sí,2023-10-25 16:03:31,430053403263,2024-11-07 16:49:28,498202451851,826237798183,Tartrato de metoprolol,INCORRECTA,MX,Mexico City
0a4ef0dda300bec8c6c9837e2100b0f4144db218eb291202ccdf7274a8fec7a4,"UMAE No. 34 Hospital de Especialidades, IMSS Monterrey",NULL,NULL,NULL,NULL,NULL,NULL,2024-06-26 1:35:01,102386154851,2024-11-08 15:48:06,802514632691,871916366119,Evitar el deterioro de la función renal y mejoría de los desenlaces renales,CORRECTA,MX,Nuevo León
0b17a27fb296debbeac3d6eed3ea8ce6f6eff29fb4eca1cc53a04daf97b941da,"Instituto Nacional de Cardiología, SS",NULL,NULL,NULL,NULL,NULL,NULL,2024-06-26 1:35:01,296232028009,2024-11-09 3:03:03,312955657979,921520581524,Canagliflozina,CORRECTA,MX,Cuauhtémoc
0b17a27fb296debbeac3d6eed3ea8ce6f6eff29fb4eca1cc53a04daf97b941da,"Instituto Nacional de Cardiología, SS",NULL,NULL,NULL,NULL,NULL,NULL,2024-06-26 1:35:01,296232028009,2024-11-09 3:03:03,828965380693,832250567826,Glimepirida,INCORRECTA,MX,Cuauhtémoc
16c62691b6287d42ca7df26d2602a9e458f66d7617526f2597c094f05d94bfce,"UMAE Hospital de Especialidades Lic. Manuel Ávila Camacho, IMSS Puebla",Cardiología Clínica,NULL,Residente de especialidad R3,NULL,NULL,Sí,2024-10-09 3:37:39,630374281811,2024-11-11 4:54:18,247539514570,836427972263,100 mg cada 24 horas,CORRECTA,MX,Iztacalco
16c62691b6287d42ca7df26d2602a9e458f66d7617526f2597c094f05d94bfce,"UMAE Hospital de Especialidades Lic. Manuel Ávila Camacho, IMSS Puebla",Cardiología Clínica,NULL,Residente de especialidad R3,NULL,NULL,Sí,2024-10-09 3:37:39,132024210460,2024-11-11 5:13:09,299836327154,353241764011,Glimepirida,INCORRECTA,MX,Puebla City
0a4ef0dda300bec8c6c9837e2100b0f4144db218eb291202ccdf7274a8fec7a4,"UMAE No. 34 Hospital de Especialidades, IMSS Monterrey",NULL,NULL,NULL,NULL,NULL,NULL,2024-06-26 1:35:01,237752936283,2024-11-11 18:43:56,479031265044,555592234422,Canagliflozina,CORRECTA,MX,Nuevo León
8b379f3513b54b6f15a72d3b6eb9f943ac03e8a30d2fe7d2fcacfbe654de9a19,"UMAE Hospital de Especialidades CMN La Raza, IMSS",Cardiología Clínica,Ecocardiografía Adultos,Residente de especialidad,Hombre,28-32,NULL,2023-12-14 17:26:00,242852347499,2024-11-12 2:49:04,203781098942,108444960175,Menor mortalidad  y hospitalizaciones por causa cardiovascular,CORRECTA,BO,Santa Cruz
008ba9cfd314433d47da6a1a56c1b82c01f3be56947077c5fed359c061017751,"Hospital Christus Muguerza Alta Especialidad, Monterrey",NULL,NULL,NULL,Hombre,NULL,NULL,2024-10-26 1:41:23,552527412968,2024-11-12 19:57:34,498202451851,826237798183,Tartrato de metoprolol,INCORRECTA,MX,Mexico City
